id,perturbation,db_id,train_idx,question,pre_ok,baseline_sql,baseline_ok,latency_baseline_s,baseline_tokens_in,baseline_tokens_out,refreshed_schema_sql,refreshed_schema_ok,latency_refreshed_schema_s,refreshed_tokens_in,refreshed_tokens_out,error_feedback_sql,error_feedback_ok,error_feedback_retry,latency_error_feedback_s,error_feedback_tokens_in,error_feedback_tokens_out,mcp_sql,mcp_method,mcp_verdict,mcp_ok,latency_mcp_s,mcp_tokens_in,mcp_tokens_out,backend
evo_cm_01334,COLUMN_MERGE,student_club,1334,List the full name of the Student_Club members that grew up in Illinois state.,1,"SELECT DISTINCT m.first_name, m.last_name
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE z.state = 'Illinois'",0,1.2268,328,47,"SELECT DISTINCT m.full_name
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE z.state = 'Illinois'",1,2.0799,323,41,"SELECT DISTINCT m.first_name, m.last_name
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE z.state = 'Illinois'",0,1,1.0578,416,47,SELECT DISTINCT m.full_name FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE z.state = 'Illinois',ast,silent_failure_suspected,1,1.0729,462,45,anthropic
evo_cm_01339,COLUMN_MERGE,student_club,1339,Calculate the total average cost that Elijah Allen spent in the events on September and October.,1,"SELECT AVG(e.cost) as total_average_cost
FROM expense e
JOIN member m ON e.link_to_member = m.member_id
JOIN budget b ON e.link_to_budget = b.budget_id
JOIN event ev ON b.link_to_event = ev.event_id
WHERE m.first_name = 'Elijah' 
  AND m.last_name = 'Allen'
  AND (strftime('%m', ev.event_date) = '09' OR strftime('%m', ev.event_date) = '10')",0,3.2418,330,143,"SELECT AVG(e.cost) as total_average_cost
FROM expense e
JOIN member m ON e.link_to_member = m.member_id
JOIN budget b ON e.link_to_budget = b.budget_id
JOIN event ev ON b.link_to_event = ev.event_id
WHERE m.full_name = 'Elijah Allen'
AND (strftime('%m', ev.event_date) = '09' OR strftime('%m', ev.event_date) = '10')",1,1.7298,325,129,"SELECT AVG(e.cost) as total_average_cost
FROM expense e
JOIN member m ON e.link_to_member = m.member_id
JOIN budget b ON e.link_to_budget = b.budget_id
JOIN event ev ON b.link_to_event = ev.event_id
WHERE m.first_name = 'Elijah' 
  AND m.last_name = 'Allen'
  AND (strftime('%m', ev.event_date) = '09' OR strftime('%m', ev.event_date) = '10')",0,1,1.3403,509,138,"SELECT AVG(e.cost) AS total_average_cost FROM expense AS e JOIN member AS m ON e.link_to_member = m.member_id JOIN budget AS b ON e.link_to_budget = b.budget_id JOIN event AS ev ON b.link_to_event = ev.event_id WHERE m.full_name = 'Elijah Allen' AND (STRFTIME('%m', ev.event_date) = '09' OR STRFTIME('%m', ev.event_date) = '10')",ast,valid,1,1.9569,552,129,anthropic
evo_cm_01346,COLUMN_MERGE,student_club,1346,"Tell the phone number of ""Carlo Jacobs"".",1,SELECT phone FROM member WHERE first_name = 'Carlo' AND last_name = 'Jacobs',0,1.3361,322,27,SELECT phone FROM member WHERE full_name = 'Carlo Jacobs',1,1.2175,317,19,SELECT phone FROM member WHERE first_name = 'Carlo' AND last_name = 'Jacobs',0,1,1.734,388,27,SELECT phone FROM member WHERE full_name = 'Carlo Jacobs',ast,silent_failure_suspected,1,0.9565,437,24,anthropic
evo_cm_01351,COLUMN_MERGE,student_club,1351,What was Brent Thomason's major?,0,"SELECT m.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Brent' AND member.last_name = 'Thomason'",0,1.3101,322,56,"SELECT m.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.full_name = 'Brent Thomason'",0,1.803,317,46,"SELECT major.major_name
FROM member
JOIN major ON member.link_to_major = major.major_id
WHERE member.first_name = 'Brent' AND member.last_name = 'Thomason'",0,1,1.0264,419,56,SELECT m.major_name FROM member JOIN major ON member.link_to_major = major.major_id WHERE member.full_name = 'Brent Thomason',ast,execution_error,0,1.2456,463,48,anthropic
evo_cm_01353,COLUMN_MERGE,student_club,1353,What's Christof Nielson's zip code type?,1,"SELECT z.type
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Christof' AND m.last_name = 'Nielson'",0,1.3193,324,54,"SELECT z.type
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.full_name = 'Christof Nielson'",1,1.6433,319,44,"SELECT z.type
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Christof' AND m.last_name = 'Nielson'",0,1,1.0602,419,54,SELECT z.type FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE m.full_name = 'Christof Nielson',ast,silent_failure_suspected,1,1.162,465,48,anthropic
evo_cm_01355,COLUMN_MERGE,student_club,1355,"Where is the hometown state for ""Sacha Harrison""?",1,"SELECT z.state
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Sacha' AND m.last_name = 'Harrison'",0,1.116,324,52,"SELECT z.state
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.full_name = 'Sacha Harrison'",1,1.2,319,42,"SELECT z.state
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Sacha' AND m.last_name = 'Harrison'",0,1,1.0434,417,52,SELECT z.state FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE m.full_name = 'Sacha Harrison',ast,silent_failure_suspected,1,1.5177,463,46,anthropic
evo_cm_01357,COLUMN_MERGE,student_club,1357,State the date Connor Hilton paid his/her dues.,0,"SELECT income.date_received
FROM income
JOIN member ON income.link_to_member = member.member_id
WHERE member.first_name = 'Connor' AND member.last_name = 'Hilton'
AND income.source = 'dues'",0,1.4209,324,64,"SELECT income.date_received
FROM income
JOIN member ON income.link_to_member = member.member_id
WHERE member.full_name = 'Connor Hilton'
AND income.source = 'dues'",0,1.0293,319,54,"SELECT income.date_received
FROM income
JOIN member ON income.link_to_member = member.member_id
WHERE member.first_name = 'Connor' AND member.last_name = 'Hilton'
AND income.source = 'dues'",0,1,1.074,429,64,SELECT income.date_received FROM income JOIN member ON income.link_to_member = member.member_id WHERE member.full_name = 'Connor Hilton' AND income.source = 'dues',ast,silent_failure_suspected,0,1.0934,472,55,anthropic
evo_cm_01358,COLUMN_MERGE,student_club,1358,Who was the first one paid his/her dues? Tell the full name.,0,"SELECT m.first_name || ' ' || m.last_name AS full_name
FROM income i
JOIN member m ON i.link_to_member = m.member_id
WHERE i.source = 'dues'
ORDER BY i.date_received ASC
LIMIT 1",0,1.6297,327,75,"SELECT m.full_name
FROM income i
JOIN member m ON i.link_to_member = m.member_id
ORDER BY i.date_received ASC
LIMIT 1",1,1.5318,322,51,"SELECT i.link_to_member, m.first_name || ' ' || m.last_name AS full_name
FROM income i
JOIN member m ON i.link_to_member = m.member_id
WHERE i.source = 'dues'
ORDER BY i.date_received ASC
LIMIT 1",0,1,1.4063,437,77,SELECT m.full_name FROM income AS i JOIN member AS m ON i.link_to_member = m.member_id WHERE i.source = 'dues' ORDER BY i.date_received ASC LIMIT 1,ast,silent_failure_suspected,0,1.6583,481,58,anthropic
evo_cm_01364,COLUMN_MERGE,student_club,1364,Where is Amy Firth's hometown?,1,"SELECT z.city, z.county, z.state
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Amy' AND m.last_name = 'Firth'",0,1.2141,320,60,"SELECT z.city, z.county, z.state
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.full_name = 'Amy Firth'",1,1.1958,315,50,"SELECT z.city, z.county, z.state
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE m.first_name = 'Amy' AND m.last_name = 'Firth'",0,1,1.3772,421,60,"SELECT z.city, z.county, z.state FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE m.full_name = 'Amy Firth'",ast,silent_failure_suspected,1,1.3044,467,54,anthropic
evo_cm_01372,COLUMN_MERGE,student_club,1372,"When did the member, Casey Mason, received the income?",1,"SELECT i.date_received
FROM income i
JOIN member m ON i.link_to_member = m.member_id
WHERE m.first_name = 'Casey' AND m.last_name = 'Mason'",0,1.5352,323,54,"SELECT i.date_received
FROM income i
JOIN member m ON i.link_to_member = m.member_id
WHERE m.full_name = 'Casey Mason'",1,1.3818,318,44,"SELECT i.date_received
FROM income i
JOIN member m ON i.link_to_member = m.member_id
WHERE m.first_name = 'Casey' AND m.last_name = 'Mason'",0,1,1.2095,418,54,SELECT i.date_received FROM income AS i JOIN member AS m ON i.link_to_member = m.member_id WHERE m.full_name = 'Casey Mason',ast,silent_failure_suspected,1,1.1141,464,48,anthropic
evo_cm_01375,COLUMN_MERGE,student_club,1375,"List all the members of the ""School of Applied Sciences, Technology and Education"" department.",0,"SELECT m.member_id, m.first_name, m.last_name, m.email, m.position
FROM member m
JOIN major ma ON m.link_to_major = ma.major_id
WHERE ma.department = 'School of Applied Sciences, Technology and Education'",0,1.1844,329,68,"SELECT m.member_id, m.full_name, m.email, m.position
FROM member m
JOIN major maj ON m.link_to_major = maj.major_id
WHERE maj.department = 'School of Applied Sciences, Technology and Education'
ORDER BY m.full_name",0,1.2162,324,71,"SELECT m.member_id, m.first_name, m.last_name, m.email, m.position
FROM member m
JOIN major ma ON m.link_to_major = ma.major_id
WHERE ma.department = 'School of Applied Sciences, Technology and Education'",0,1,5.6279,438,68,"SELECT m.member_id, m.full_name, m.email, m.position FROM member AS m JOIN major AS ma ON m.link_to_major = ma.major_id WHERE ma.department = 'School of Applied Sciences, Technology and Education'",ast,silent_failure_suspected,0,1.166,484,66,anthropic
evo_cm_01382,COLUMN_MERGE,student_club,1382,"Among the students majored in interior design, who have attended the Community Theater event?",0,"SELECT DISTINCT m.member_id, m.first_name, m.last_name
FROM member m
JOIN major maj ON m.link_to_major = maj.major_id
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE maj.major_name = 'interior design'
AND e.event_name = 'Community Theater'",0,1.5312,328,112,"SELECT DISTINCT m.member_id, m.full_name
FROM member m
JOIN major maj ON m.link_to_major = maj.major_id
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE maj.major_name = 'interior design'
AND e.event_name = 'Community Theater'",0,1.3606,323,106,"SELECT DISTINCT m.member_id, m.first_name, m.last_name
FROM member m
JOIN major maj ON m.link_to_major = maj.major_id
JOIN attendance a ON m.member_id = a.link_to_member
JOIN event e ON a.link_to_event = e.event_id
WHERE maj.major_name = 'interior design'
AND e.event_name = 'Community Theater'",0,1,1.4019,476,107,"SELECT DISTINCT m.member_id, m.full_name FROM member AS m JOIN major AS maj ON m.link_to_major = maj.major_id JOIN attendance AS a ON m.member_id = a.link_to_member JOIN event AS e ON a.link_to_event = e.event_id WHERE maj.major_name = 'interior design' AND e.event_name = 'Community Theater'",ast,silent_failure_suspected,0,1.4781,521,99,anthropic
evo_cm_01383,COLUMN_MERGE,student_club,1383,"State the name of students from Georgetown, South Carolina.",1,"SELECT DISTINCT m.first_name, m.last_name
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE z.city = 'Georgetown' AND z.state = 'South Carolina'",0,1.413,322,57,"SELECT DISTINCT m.full_name
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE z.city = 'Georgetown' AND z.state = 'South Carolina'",1,1.2765,317,51,"SELECT DISTINCT m.first_name, m.last_name
FROM member m
JOIN zip_code z ON m.zip = z.zip_code
WHERE z.city = 'Georgetown' AND z.state = 'South Carolina'",0,1,1.1129,420,57,SELECT DISTINCT m.full_name FROM member AS m JOIN zip_code AS z ON m.zip = z.zip_code WHERE z.city = 'Georgetown' AND z.state = 'South Carolina',ast,silent_failure_suspected,1,1.3101,466,55,anthropic
